entry_date,entry_price,prob_tp,tp_pct,sl_pct,atr_pct,exit_type,exit_price,exit_time,pnl_pct,duration_minutes
2025-11-19 01:00:00,91554.96,0.79180306,0.015,0.01,0.04553432792094028,tp,92928.2844,2025-11-20 04:45:00,0.015,225.0
2025-11-21 01:00:00,85129.43,0.8821476,0.015,0.01,0.05335480674209009,sl,84278.1357,2025-11-22 03:15:00,-0.01,135.0
2025-11-23 01:00:00,86830.0,0.7842287,0.015,0.01,0.05192505059146772,sl,85961.7,2025-11-24 09:15:00,-0.01,495.0
2026-02-03 01:00:00,75770.21,0.7961871,0.015,0.01,0.048106769137897354,tp,76906.76315,2026-02-04 03:30:00,0.015,150.0
2026-02-05 01:00:00,62909.86,0.8970612,0.015,0.01,0.07034492344624971,tp,63853.5079,2026-02-06 01:00:00,0.015,0.0
2026-02-06 01:00:00,70580.26,0.89846355,0.015,0.01,0.07191422927600438,sl,69874.4574,2026-02-07 01:00:00,-0.01,0.0
2026-02-07 01:00:00,69289.38,0.81577194,0.015,0.01,0.07695975301595386,tp,70328.72069999999,2026-02-08 08:15:00,0.015,435.0
2026-02-08 01:00:00,70330.38,0.7544033,0.015,0.01,0.07596179834172863,tp,71385.3357,2026-02-09 03:45:00,0.015,165.0
2026-02-10 01:00:00,68841.29,0.76580334,0.015,0.01,0.07895783599805127,sl,68152.8771,2026-02-11 03:15:00,-0.01,135.0
2026-02-11 01:00:00,67082.52,0.8628746,0.015,0.01,0.0829131898188338,tp,68088.75779999999,2026-02-12 11:00:00,0.015,600.0
2026-02-12 01:00:00,66272.17,0.80996215,0.015,0.01,0.08104695918577676,tp,67266.25254999999,2026-02-13 13:15:00,0.015,735.0
